campaign_key,campaign_name,objective
1,Arc Upgrade Promo Q3 2025,Product Launch
2,Beam Back-to-School Campaign,Seasonal Promotion
3,Move 2 Summer Launch,Product Launch
4,Roam Holiday Bundle,Seasonal Promotion
5,Era 300 Spatial Showcase,Product Launch
6,Era 100 Value Campaign,Lead Generation
7,Black Friday Soundbar Sale,Seasonal Promotion
8,Spring Home Theater Event,Lead Generation
9,Cyber Monday Special,Seasonal Promotion
10,Summer Portable Speaker Push,Seasonal Promotion
11,Holiday Gift Guide 2024,Seasonal Promotion
12,New Year Sound Upgrade,Lead Generation
13,Mother's Day Bundle,Seasonal Promotion
14,Father's Day Tech Gifts,Seasonal Promotion
15,Prime Day Exclusive,Seasonal Promotion

