opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP000001,3634,ACC000588,Opportunity 1,Closed Won,652.8,1.0,2025-05-05,2025-02-04,Referral,New Customer,2
OPP000002,14110,ACC000419,Opportunity 2,Closed Won,814.37,1.0,2024-03-11,2024-01-06,Social Media,Upgrade,1
OPP000003,8925,ACC000460,Opportunity 3,Closed Won,1213.71,1.0,2025-03-06,2025-02-14,Social Media,Renewal,3
OPP000004,977,ACC000481,Opportunity 4,Closed Won,1093.15,1.0,2025-12-06,2025-09-19,Paid Search,Upgrade,1
OPP000005,8373,ACC000150,Opportunity 5,Closed Won,1065.03,1.0,2024-09-11,2024-07-01,Paid Search,Upgrade,4
OPP000006,1278,ACC000422,Opportunity 6,Closed Won,850.31,1.0,2024-07-06,2024-05-09,Referral,New Customer,5
OPP000007,,ACC000003,Opportunity 7,Closed Lost,753.74,0.53,,2024-01-19,Email,Renewal,8
OPP000008,,ACC000290,Opportunity 8,Negotiation,797.04,0.37,,2025-05-01,Paid Search,New Customer,1
OPP000009,,ACC000247,Opportunity 9,Negotiation,907.0,0.2,,2025-04-28,Email,Renewal,6
OPP000010,11582,ACC000954,Opportunity 10,Closed Won,500.86,1.0,2024-02-21,2024-01-19,Referral,New Customer,11
OPP000011,6139,ACC000206,Opportunity 11,Closed Won,1172.49,1.0,2024-07-21,2024-06-30,Social Media,Upgrade,4
OPP000012,,ACC000286,Opportunity 12,Qualification,393.65,0.17,,2025-03-08,Referral,Upgrade,2
OPP000013,,ACC000014,Opportunity 13,Qualification,969.14,0.54,,2025-04-30,Social Media,Renewal,13
OPP000014,133,ACC000053,Opportunity 14,Closed Won,773.28,1.0,2024-12-28,2024-11-02,Email,Renewal,8
OPP000015,9034,ACC000840,Opportunity 15,Closed Won,1372.48,1.0,2025-08-21,2025-06-07,Social Media,Renewal,10
OPP000016,,ACC000480,Opportunity 16,Prospecting,320.87,0.26,,2025-05-15,Email,New Customer,7
OPP000017,10437,ACC000839,Opportunity 17,Closed Won,1677.67,1.0,2025-12-03,2025-09-17,Paid Search,Upgrade,13
OPP000018,,ACC000542,Opportunity 18,Negotiation,1321.8,0.45,,2025-04-01,Paid Search,New Customer,6
OPP000019,,ACC000742,Opportunity 19,Qualification,1464.91,0.78,,2024-03-20,Paid Search,New Customer,15
OPP000020,12687,ACC000606,Opportunity 20,Closed Won,1091.56,1.0,2024-08-27,2024-05-30,Social Media,Renewal,6
OPP000021,,ACC000682,Opportunity 21,Closed Lost,606.09,0.55,,2024-07-29,Paid Search,Renewal,10
OPP000022,,ACC000245,Opportunity 22,Closed Lost,189.82,0.64,,2025-06-30,Paid Search,Renewal,12
OPP000023,13797,ACC000862,Opportunity 23,Closed Won,751.01,1.0,2024-09-13,2024-07-12,Referral,New Customer,4
OPP000024,,ACC000554,Opportunity 24,Qualification,1223.53,0.62,,2025-05-22,Email,Renewal,3
OPP000025,,ACC000756,Opportunity 25,Negotiation,642.09,0.77,,2025-11-19,Social Media,Upgrade,11
OPP000026,3737,ACC000997,Opportunity 26,Closed Won,1530.21,1.0,2025-06-13,2025-03-19,Referral,New Customer,5
OPP000027,,ACC000626,Opportunity 27,Negotiation,518.35,0.44,,2025-05-20,Email,Renewal,7
OPP000028,,ACC000290,Opportunity 28,Closed Lost,1133.84,0.14,,2024-06-19,Social Media,Renewal,14
OPP000029,,ACC000542,Opportunity 29,Closed Lost,502.78,0.15,,2025-01-09,Paid Search,New Customer,8
OPP000030,,ACC000733,Opportunity 30,Closed Lost,1444.83,0.64,,2025-01-02,Paid Search,Upgrade,5
OPP000031,6573,ACC000612,Opportunity 31,Closed Won,276.61,1.0,2024-05-08,2024-05-01,Referral,Renewal,3
OPP000032,,ACC000369,Opportunity 32,Closed Lost,1162.92,0.7,,2025-06-16,Social Media,Upgrade,9
OPP000033,990,ACC000989,Opportunity 33,Closed Won,1722.08,1.0,2024-04-17,2024-04-04,Email,Renewal,4
OPP000034,,ACC000937,Opportunity 34,Negotiation,1143.46,0.25,,2025-02-19,Email,Upgrade,13
OPP000035,6201,ACC000092,Opportunity 35,Closed Won,1237.81,1.0,2025-06-14,2025-05-14,Social Media,Upgrade,9
OPP000036,3094,ACC000775,Opportunity 36,Closed Won,1966.73,1.0,2025-02-04,2024-11-30,Social Media,Renewal,13
OPP000037,,ACC000520,Opportunity 37,Negotiation,953.94,0.2,,2025-04-30,Paid Search,Upgrade,13
OPP000038,610,ACC000350,Opportunity 38,Closed Won,374.57,1.0,2025-04-18,2025-03-16,Email,Upgrade,1
OPP000039,13482,ACC000729,Opportunity 39,Closed Won,951.57,1.0,2025-12-19,2025-11-12,Paid Search,Renewal,2
OPP000040,3315,ACC000494,Opportunity 40,Closed Won,1267.27,1.0,2025-12-15,2025-10-11,Paid Search,Upgrade,3
OPP000041,10384,ACC000527,Opportunity 41,Closed Won,450.31,1.0,2025-01-14,2024-11-13,Social Media,Upgrade,6
OPP000042,8052,ACC000852,Opportunity 42,Closed Won,1279.85,1.0,2025-12-13,2025-10-01,Referral,Renewal,14
OPP000043,12699,ACC000450,Opportunity 43,Closed Won,1253.3,1.0,2024-08-15,2024-06-19,Referral,New Customer,4
OPP000044,,ACC000152,Opportunity 44,Prospecting,1367.86,0.49,,2025-09-12,Email,Upgrade,13
OPP000045,14830,ACC000584,Opportunity 45,Closed Won,1142.94,1.0,2025-04-26,2025-02-28,Social Media,New Customer,8
OPP000046,7283,ACC000838,Opportunity 46,Closed Won,341.87,1.0,2024-05-08,2024-03-27,Social Media,Renewal,5
OPP000047,5604,ACC000169,Opportunity 47,Closed Won,1304.97,1.0,2025-11-09,2025-09-10,Referral,Upgrade,13
OPP000048,,ACC000642,Opportunity 48,Negotiation,1467.93,0.38,,2025-05-10,Paid Search,New Customer,13
OPP000049,,ACC000595,Opportunity 49,Closed Lost,1075.66,0.47,,2025-10-18,Paid Search,New Customer,11
OPP000050,,ACC000571,Opportunity 50,Closed Lost,135.01,0.59,,2025-01-17,Referral,Upgrade,4
OPP000051,,ACC000682,Opportunity 51,Negotiation,881.31,0.63,,2025-08-03,Email,Upgrade,5
OPP000052,,ACC000210,Opportunity 52,Closed Lost,1275.65,0.23,,2024-09-21,Social Media,New Customer,4
OPP000053,,ACC000753,Opportunity 53,Negotiation,329.84,0.69,,2024-01-17,Social Media,New Customer,15
OPP000054,1504,ACC000892,Opportunity 54,Closed Won,1066.12,1.0,2025-09-18,2025-08-22,Referral,New Customer,12
OPP000055,,ACC000437,Opportunity 55,Closed Lost,272.78,0.66,,2025-02-20,Email,Upgrade,9
OPP000056,,ACC000716,Opportunity 56,Closed Lost,890.15,0.72,,2024-03-26,Referral,Renewal,4
OPP000057,2601,ACC000714,Opportunity 57,Closed Won,1981.47,1.0,2026-01-21,2025-11-18,Social Media,New Customer,6
OPP000058,3993,ACC000381,Opportunity 58,Closed Won,499.35,1.0,2025-03-28,2025-02-27,Social Media,New Customer,10
OPP000059,7598,ACC000452,Opportunity 59,Closed Won,1525.46,1.0,2024-05-02,2024-03-08,Email,New Customer,3
OPP000060,305,ACC000736,Opportunity 60,Closed Won,754.68,1.0,2024-05-08,2024-03-28,Referral,Renewal,14
OPP000061,,ACC000141,Opportunity 61,Qualification,1200.54,0.79,,2024-01-23,Referral,New Customer,3
OPP000062,285,ACC000266,Opportunity 62,Closed Won,1691.87,1.0,2025-08-26,2025-06-11,Referral,Upgrade,1
OPP000063,14915,ACC000281,Opportunity 63,Closed Won,979.29,1.0,2024-08-21,2024-07-10,Referral,New Customer,5
OPP000064,,ACC000746,Opportunity 64,Closed Lost,1412.74,0.58,,2025-11-11,Email,Upgrade,12
OPP000065,,ACC000825,Opportunity 65,Prospecting,1062.76,0.68,,2024-08-31,Referral,Upgrade,4
OPP000066,899,ACC000605,Opportunity 66,Closed Won,919.47,1.0,2025-01-08,2024-12-06,Email,Renewal,6
OPP000067,,ACC000508,Opportunity 67,Closed Lost,700.77,0.21,,2025-05-26,Social Media,Renewal,2
OPP000068,,ACC000324,Opportunity 68,Negotiation,1252.05,0.43,,2025-09-11,Paid Search,Upgrade,7
OPP000069,,ACC000883,Opportunity 69,Negotiation,256.0,0.24,,2025-08-12,Social Media,Upgrade,14
OPP000070,,ACC000244,Opportunity 70,Prospecting,595.94,0.29,,2024-02-03,Email,Upgrade,6
OPP000071,,ACC000036,Opportunity 71,Negotiation,795.68,0.37,,2025-10-17,Paid Search,Upgrade,2
OPP000072,11625,ACC000135,Opportunity 72,Closed Won,1931.3,1.0,2025-12-05,2025-11-16,Social Media,New Customer,2
OPP000073,,ACC000335,Opportunity 73,Negotiation,740.85,0.22,,2025-06-20,Referral,Renewal,5
OPP000074,5381,ACC000790,Opportunity 74,Closed Won,1740.41,1.0,2024-04-23,2024-03-29,Paid Search,New Customer,1
OPP000075,,ACC000540,Opportunity 75,Closed Lost,1394.22,0.65,,2024-08-20,Paid Search,Upgrade,11
OPP000076,9151,ACC000114,Opportunity 76,Closed Won,532.36,1.0,2024-05-05,2024-04-17,Social Media,Renewal,12
OPP000077,6620,ACC000559,Opportunity 77,Closed Won,1855.82,1.0,2025-12-01,2025-10-08,Email,Renewal,4
OPP000078,10516,ACC000395,Opportunity 78,Closed Won,460.27,1.0,2024-05-10,2024-03-11,Social Media,New Customer,3
OPP000079,3660,ACC000377,Opportunity 79,Closed Won,674.97,1.0,2024-04-01,2024-03-21,Email,Upgrade,2
OPP000080,,ACC000212,Opportunity 80,Negotiation,260.47,0.71,,2024-07-22,Paid Search,New Customer,8
OPP000081,9833,ACC000139,Opportunity 81,Closed Won,1473.46,1.0,2025-11-12,2025-08-30,Referral,Upgrade,14
